Iter,MPI_error,Jacobi_error,GaussSeidel_error,Chebyshev_error
147,13.106886,12.635417,5.011715,6046328007751404487275209707535552476330022540752969721395798025550074899660936545501936990041596300286253423798464979966778635665822187520.000000
148,13.026816,12.483797,4.909549,54033910866016968579992508448515115023658766343576533791042951598424752827105427733570686013911583520932767138923118038771202586059552587776.000000
149,12.947168,12.344904,4.809624,482895279278221608705099487263602075682489505959675895838310298399861593733599894772340406034899508288977282090979504984383854912596734902272.000000
150,12.867944,12.188750,4.711981,4315700842604729432020301358925624995510054355139077185617018349853135057338477609254676243491496806371777055448232050875894147180127504564224.000000
151,12.789148,12.060647,4.616262,38571051122363066665345167140433513989165520830755494447457643460378491523147465696929540880269212670245954742446010069845404225101602695938048.000000
152,12.710781,11.902713,4.522429,344733380521265367087599092060945476598697217401767836212292277893195321492023523018803522550665801621504510904991878544210251246480488107343872.000000
153,12.632845,11.782553,4.430448,3081178623028580778633131202219014647910839152993890068855546181073906196647373774498297771710634076789266047182716625615323148728825250364522496.000000
154,12.557958,11.634893,4.340284,27539879700898028833938959691325024847891347262352186943945389611557151791517281237093075106539127937440683962688677903422883472421301775228731392.000000
155,12.487442,11.510529,4.252067,246160732872481168832349567606120955212798911413782970120838246336067043927490457351943161340340848477853052965361840330311306939197272483281502208.000000
156,12.417219,11.372657,4.165861,2200326033099013095662923272424558198011205328120170831721876509314490393362719731902337197491984054325105115326619140078571729208034975272648310784.000000
157,12.347291,11.244477,4.081356,19668297539634539017030661722991786925115223019689231515202090593254980405686944266423233271330292983271991737785898280555396721624051483901685661696.000000
158,12.277663,11.115928,3.998519,175815808029365509394364949965333388974941961225626075264797743072609617101850605707096307251231890011480921157419842479780349704444205730567068581888.000000
159,12.208338,10.984300,3.917318,1571666649999232106012672269216664340744511841335982618773456289845411791604443130537547501854002597988196555123235401284734035305583641559848024276992.000000
160,12.139318,10.864626,3.837723,14049933408761923802322812667674988719392638401711909163258103687655068506978701540316324612387997487480398086254254351176578795751330154640646839730176.000000
161,12.070606,10.729897,3.759772,125602808560180048966801805928227738503990039610425387443001773560155404781548580764738184280740236576025364496295666134124387337839462357615695798206464.000000
162,12.002206,10.618670,3.683646,1123406771835869934123225181881696118847178099569062959523934991427084953381777633591876582397264069495636231299531449022362575780156502157933454882242560.000000
163,11.934119,10.484441,3.609023,10049885877160028542675782050545516052204487728471500993705870802277612767162902460930417597020296152544814314473137574428194292691534320648172213555429376.000000
164,11.866348,10.377976,3.535875,89906888644264593422832329300521583406633056200230232932592210982454270886789042602333007871848863955092725359014995946961092037799372145160098679772676096.000000
165,11.798894,10.251809,3.464173,804326831515327476860833786405673774976859313718262700048845120743201578561431566886083919073718991245709290917776070157193393830326822083931888187172978688.000000
166,11.731761,10.142461,3.393891,7195813454385041484962317201644978412789773036457312991811816702087908235712925781424854724978653579853543348652476593174096347673697695618695682312133148672.000000
167,11.664949,10.023995,3.325000,64377630422334197227037132560162920173199358310870544741363259775168757254259198040126046274349860395481521779862138708573489376875864129459577773609336176640.000000
168,11.598461,9.912038,3.257722,575967302017428570220955153382288182264949604697890438290553016577641390348248637399510866185582838972159880328536211693473847015477334454188847019520627310592.000000
169,11.532298,9.800927,3.191812,5153098191958206950634098502561862843639705831502461882091634930874773942385551403826024465839935894599076052885859460079857506557997675614572529423360288882688.000000
170,11.466461,9.686621,3.127205,46104864495051899526805222655227421480648530190685023632886344803063308111565132880448032112908251860498513119760529582995145467580273549822036480404457053487104.000000
171,11.400951,9.582532,3.063877,412508421237961817332232380937530936404937565978814039277745670125764387516910760885509027778229887580636766036727060544836273616415403962184761682066668393594880.000000
172,11.337879,9.466125,3.001803,3690851890852793603380468551267038333848229360915067948383330156473451427631475986106316098160509447019389852953891310655565122632211098717296323471143802981318656.000000
173,11.277725,9.368736,2.940959,33023883089453757801229758832611182007046080960382084500910110200765300756135689236083104365434331996841667612757872366670589159537679711041246004535618416114925568.000000
174,11.217808,9.253509,2.881412,295486313679686868146178989029321881880100589111450119249995145894660456313416549247298529508939605917682134882470692617143644113413326306488056433281868127092604928.000000
175,11.158133,9.159465,2.823186,2643956482661582355887715877706466942782634040189717096091208540098052238882949396076831265436981716829255376467816621973510339888323436834822043479444300123066073088.000000
